N,FLOP,Flops,s
32,65536,6.775150e+08,0.000097
256,33554432,7.291209e+08,0.046020
1024,2147483648,5.932339e+08,3.619961
1024,2147483648,7.390788e+08,2.905622
1024,2147483648,7.144776e+08,3.005669
1024,2147483648,7.329010e+08,2.930114
1024,2147483648,7.129590e+08,3.012072
1024,2147483648,7.315314e+08,2.935600
1024,2147483648,7.301071e+08,2.941327
1024,2147483648,2.523367e+08,8.510391
1024,2147483648,6.677013e+07,32.162342
1024,2147483648,6.665011e+07,32.220257
1024,2147483648,6.502896e+07,33.023498
1024,2147483648,7.250626e+07,29.617907
1024,2147483648,1.340958e+08,16.014544
1024,2147483648,1.265436e+08,16.970306
1024,2147483648,9.218688e+09,0.232949
1024,2147483648,8.926841e+09,0.240565
1024,2147483648,3.469730e+09,0.618919
1024,2147483648,3.361577e+09,0.638832
1024,2147483648,2.827170e+09,0.759588
1024,2147483648,1.215411e+10,0.176688
1024,2147483648,1.573197e+10,0.136504
1024,2147483648,1.620100e+10,0.132553
1024,2147483648,1.308140e+10,0.164163
1024,2147483648,1.314207e+10,0.163405
1024,2147483648,1.601803e+10,0.134067
1024,2147483648,1.545197e+10,0.138978
1024,2147483648,6.821149e+09,0.314827
1024,2147483648,1.577525e+10,0.136130
1024,2147483648,1.306067e+10,0.164424
1024,2147483648,1.319978e+10,0.162691
1024,2147483648,1.277602e+10,0.168087
1024,2147483648,1.283254e+10,0.167347
1024,2147483648,1.311241e+10,0.163775
1024,2147483648,1.534334e+10,0.139962
1024,2147483648,6.208636e+09,0.345887
1024,2147483648,8.442724e+09,0.254359
1024,2147483648,1.622985e+10,0.132317
1024,2147483648,1.623307e+10,0.132291
1024,2147483648,1.626585e+10,0.132024
1024,2147483648,1.570642e+10,0.136726
1024,2147483648,1.606965e+10,0.133636
1024,2147483648,1.600286e+10,0.134194
1024,2147483648,1.623008e+10,0.132315
1024,2147483648,1.604279e+10,0.133860
1024,2147483648,1.615698e+10,0.132914
1024,2147483648,1.574982e+10,0.136350
1024,2147483648,1.638025e+10,0.131102
1024,2147483648,1.635934e+10,0.131270
1024,2147483648,1.629320e+10,0.131802
1024,2147483648,2.564786e+09,0.837295
1024,2147483648,7.142682e+09,0.300655
1024,2147483648,7.186708e+09,0.298813
1024,2147483648,9.918277e+09,0.216518
1024,2147483648,1.078085e+10,0.199194
1024,2147483648,1.600091e+10,0.134210
1024,2147483648,1.596132e+10,0.134543
1024,2147483648,1.583857e+10,0.135586
1024,2147483648,1.593682e+10,0.134750
1024,2147483648,1.573154e+10,0.136508
1024,2147483648,1.626533e+10,0.132028
1024,2147483648,1.626548e+10,0.132027
1024,2147483648,1.548104e+10,0.138717
1024,2147483648,8.422382e+09,0.254973
1024,2147483648,1.084365e+10,0.198041
1024,2147483648,5.570958e+09,0.385478
1024,2147483648,1.534913e+10,0.139909
1024,2147483648,1.573881e+10,0.136445
2048,17179869184,1.610432e+10,1.066786
4096,137438953472,1.529014e+10,8.988733
4096,137438953472,1.481601e+10,9.276379
4096,137438953472,1.545812e+10,8.891051
4096,137438953472,1.512532e+10,9.086681
4096,137438953472,1.513891e+10,9.078524
4096,137438953472,1.572162e+10,8.742037
4096,137438953472,5.746626e+11,0.239165
4096,137438953472,7.216678e+11,0.190446
4096,137438953472,1.563265e+10,8.791791
1024,2147483648,3.556381e+09,0.603840,10
